GEOID,heatweek_avg_qol_calls,normalweek_avg_qol_calls,TOTAL_POP,heatweek_calls_per_1k,normalweek_calls_per_1k
36047031702,0.8,2.0,3918.0,0.20418580908626852,0.5104645227156713
36047031900,2.8,7.0,3175.0,0.8818897637795275,2.204724409448819
36047032100,5.2,7.857142857142857,5168.0,1.0061919504643961,1.520344980097302
36047032300,9.4,9.285714285714286,3256.0,2.886977886977887,2.8518778518778523
36047032500,3.0,5.0,6119.0,0.4902761889197581,0.8171269815329302
36047032600,16.2,11.714285714285714,8110.0,1.9975339087546238,1.4444248722917032
36047032700,5.4,4.571428571428571,2687.0,2.0096762188314106,1.70131320112712
36047032800,3.0,2.0,2917.0,1.0284538909838874,0.6856359273225917
36047032900,7.4,7.571428571428571,6033.0,1.226587104259904,1.255002249532334
36047033000,1.6,2.0,4774.0,0.3351487222454964,0.41893590280687054
36047033100,1.4,1.7142857142857142,4192.0,0.333969465648855,0.4089422028353326
36047033300,3.4,2.2857142857142856,4802.0,0.7080383173677633,0.47599214612958884
36047033500,2.2,2.5714285714285716,3221.0,0.6830176963675878,0.7983323723776999
36047033600,4.0,3.5714285714285716,5269.0,0.7591573353577529,0.6778190494265651
36047033701,6.0,2.857142857142857,2710.0,2.214022140221402,1.0542962572482868
36047033702,3.6,1.5714285714285714,1750.0,2.0571428571428574,0.8979591836734694
36047033900,8.8,10.285714285714286,4816.0,1.8272425249169437,2.1357380161366875
36047034000,1.4,2.142857142857143,2071.0,0.6760019314340897,1.0346968338276885
36047034100,8.4,4.857142857142857,2991.0,2.808425275827483,1.6239193771791562
36047034200,4.0,3.857142857142857,6735.0,0.5939123979213067,0.5727012408526885
36047034300,3.0,2.142857142857143,4726.0,0.6347862886161659,0.4534187775829756
36047034500,2.0,3.0,2661.0,0.7515971439308531,1.1273957158962795
36047034700,2.6,4.285714285714286,3312.0,0.7850241545893719,1.2939958592132506
36047034800,20.0,19.714285714285715,2491.0,8.028904054596548,7.91420542524517
36047034901,1.0,0.5714285714285714,1996.0,0.501002004008016,0.286286859433152
36047034902,0.4,1.7142857142857142,4013.0,0.09967605282830799,0.4271830835498914
36047035000,2.2,0.8571428571428571,3154.0,0.6975269499048828,0.271763746716188
36047035101,3.2,4.142857142857143,1885.0,1.6976127320954908,2.197802197802198
36047035102,3.4,1.5714285714285714,3179.0,1.0695187165775402,0.4943153732081067
36047035200,4.4,4.285714285714286,1439.0,3.0576789437109104,2.978258711406731
36047035301,2.0,3.5714285714285716,2860.0,0.6993006993006993,1.2487512487512487
36047035302,1.0,1.8571428571428572,3304.0,0.3026634382566586,0.5620892424766517
36047035400,11.6,10.714285714285714,5507.0,2.106410023606319,1.9455757607201223
36047035500,1.8,3.7142857142857144,5762.0,0.3123915307185005,0.644617444339763
36047035601,2.8,0.6666666666666666,2725.0,1.0275229357798163,0.24464831804281342
36047035602,4.2,4.571428571428571,6276.0,0.6692160611854685,0.728398433943367
36047035701,2.0,3.4285714285714284,2550.0,0.7843137254901961,1.3445378151260503
36047035900,7.2,8.428571428571429,6127.0,1.1751264893096134,1.375644104548952
36047036001,6.6,3.2857142857142856,3108.0,2.1235521235521233,1.0571796286082
36047036002,0.8,1.1428571428571428,4321.0,0.1851423281647767,0.2644890402353952
36047036100,4.2,2.0,3025.0,1.3884297520661157,0.6611570247933884
36047036200,1.6,3.857142857142857,3860.0,0.4145077720207254,0.999259807549963
36047036300,3.4,6.0,5616.0,0.6054131054131054,1.0683760683760686
36047036400,3.4,7.571428571428571,2216.0,1.5342960288808662,3.416709644146467
36047036501,1.8,3.857142857142857,3528.0,0.5102040816326531,1.0932944606413995
36047036502,1.0,2.2857142857142856,1924.0,0.5197505197505198,1.1880011880011878
36047036600,6.4,8.142857142857142,4146.0,1.5436565364206465,1.9640272896423403
36047036700,4.2,2.857142857142857,1943.0,2.1616057642820383,1.4704801117564885
36047036900,3.8,5.714285714285714,5666.0,0.6706671373102717,1.0085220109928899
36047037000,7.0,7.571428571428571,4184.0,1.6730401529636711,1.8096148593280525
36047037100,4.0,4.142857142857143,4935.0,0.8105369807497467,0.8394847300622377
36047037300,3.4,4.714285714285714,5391.0,0.6306807642366907,0.8744733285634788
36047037401,3.2,4.571428571428571,4602.0,0.6953498478922208,0.9933569255603154
36047037402,6.6,9.571428571428571,5089.0,1.296914914521517,1.8808073435701653
36047037500,2.4,5.571428571428571,3711.0,0.6467259498787389,1.5013280979327865
36047037700,2.0,3.2857142857142856,5042.0,0.3966679888932963,0.6516688388961296
36047037900,4.6,7.0,4819.0,0.954554886905997,1.4525835235526041
36047038100,3.0,2.857142857142857,5497.0,0.5457522284882663,0.5197640271316822
36047038200,6.4,6.285714285714286,5599.0,1.1430612609394535,1.1226494527083917
36047038300,7.8,4.142857142857143,5250.0,1.4857142857142858,0.7891156462585035
36047038500,3.4,6.285714285714286,4701.0,0.723250372261221,1.3371015285501564
36047038600,8.2,8.428571428571429,3123.0,2.625680435478706,2.6988701340286356
36047038700,6.4,9.428571428571429,4632.0,1.3816925734024181,2.035529237601777
36047038800,1.4,1.8571428571428572,3996.0,0.35035035035035034,0.4647504647504648
36047038900,1.4,3.2857142857142856,3045.0,0.45977011494252873,1.079052310579404
36047039000,0.8,1.1428571428571428,2456.0,0.32573289902280134,0.4653327128897161
36047039100,4.0,1.8571428571428572,4759.0,0.8405127127547805,0.3902380452075766
36047039200,1.0,2.5714285714285716,3351.0,0.29841838257236647,0.7673615551860852
36047039300,3.6,4.142857142857143,4198.0,0.857551214864221,0.9868644932961276
36047039400,1.8,1.7142857142857142,1970.0,0.9137055837563453,0.8701957940536621
36047039500,2.8,4.857142857142857,3676.0,0.7616974972796517,1.3213119850769468
36047039600,1.0,1.1428571428571428,2028.0,0.4930966469428008,0.5635390250774865
36047039700,2.6,2.4285714285714284,3010.0,0.8637873754152824,0.8068343616516374
36047039800,5.6,4.714285714285714,3042.0,1.840894148586456,1.5497323189630883
36047039900,2.4,1.7142857142857142,4434.0,0.5412719891745601,0.38662284941040015
36047040000,1.0,2.0,2656.0,0.37650602409638556,0.7530120481927711
36047040100,5.4,4.571428571428571,3507.0,1.5397775876817794,1.3035154181433053
36047040200,2.4,2.2857142857142856,2702.0,0.8882309400444115,0.8459342286137252
36047040300,8.4,5.0,4426.0,1.8978761861726163,1.1296882060551288
36047040400,18.2,21.428571428571427,2641.0,6.891329042029534,8.113809704116406
36047040500,6.2,6.142857142857143,1516.0,4.089709762532982,4.052016584998116
36047040600,2.6,4.0,3973.0,0.6544173168890007,1.0067958721369243
36047040800,6.6,9.428571428571429,3885.0,1.6988416988416988,2.4269167126309985
36047040900,11.2,14.285714285714286,4068.0,2.753195673549656,3.5117291754459896
36047041000,1.4,3.4285714285714284,1927.0,0.7265179034769071,1.779227518718956
36047041100,8.6,5.571428571428571,2925.0,2.94017094017094,1.9047619047619047
36047041200,5.6,6.857142857142857,3312.0,1.6908212560386473,2.0703933747412004
36047041300,6.4,10.428571428571429,3664.0,1.7467248908296944,2.8462258265751714
36047041401,0.2,0.2857142857142857,1233.0,0.16220600162206,0.23172285946008572
36047041402,0.0,0.3333333333333333,1963.0,0.0,0.16980811682798438
36047041500,3.8,3.857142857142857,4906.0,0.7745617611088463,0.7862093063886786
36047041600,1.4,1.0,2248.0,0.6227758007117438,0.4448398576512455
36047041700,1.6,2.142857142857143,3400.0,0.47058823529411764,0.6302521008403361
36047041800,0.4,0.7142857142857143,2598.0,0.15396458814472672,0.27493676454415483
36047041900,2.4,4.714285714285714,3588.0,0.6688963210702341,1.3139034878165312
36047042000,1.0,2.142857142857143,1789.0,0.5589714924538849,1.1977960552583247
36047042100,6.0,5.714285714285714,4421.0,1.3571590137977834,1.292532394093127
36047042200,0.2,2.2857142857142856,3465.0,0.05772005772005772,0.6596578025149453
36047042300,4.0,2.5714285714285716,4235.0,0.9445100354191264,0.6071850227694383
36047042400,12.4,9.0,3946.0,3.142422706538267,2.2807906741003547
36047042500,4.0,3.857142857142857,3460.0,1.1560693641618498,1.1147811725846408
36047042600,9.2,5.428571428571429,4981.0,1.8470186709496084,1.0898557375168496
36047042700,3.8,7.714285714285714,4672.0,0.8133561643835615,1.6511741682974561
36047042800,9.2,13.0,3928.0,2.3421588594704685,3.309572301425662
36047042900,5.0,6.285714285714286,5159.0,0.9691800736576855,1.2183978068839476
36047043000,10.4,11.714285714285714,3944.0,2.636916835699797,2.9701535786728486
36047043100,4.4,8.714285714285714,4065.0,1.082410824108241,2.1437357230715164
36047043200,10.2,10.857142857142858,4350.0,2.3448275862068964,2.495894909688013
36047043300,1.8,4.142857142857143,3455.0,0.5209840810419682,1.1990903452553237
36047043400,9.4,6.857142857142857,3911.0,2.4034773715162365,1.7532965628081967
36047043500,6.2,7.0,4992.0,1.2419871794871797,1.4022435897435896
36047043600,4.4,4.714285714285714,4901.0,0.8977759640889615,0.9619028186667444
36047043700,5.0,6.571428571428571,5263.0,0.9500285008550257,1.2486088868380336
36047043800,3.0,3.2857142857142856,2670.0,1.1235955056179776,1.2306046013911183
36047043900,17.8,14.142857142857142,3390.0,5.250737463126844,4.171934260429835
36047044000,3.8,6.285714285714286,2900.0,1.3103448275862069,2.167487684729064
36047044100,7.0,8.428571428571429,5391.0,1.2984603969578927,1.5634523147044015
36047044200,2.2,1.4285714285714286,2575.0,0.854368932038835,0.5547850208044383
36047044300,4.8,4.571428571428571,4470.0,1.0738255033557047,1.0226909555768615
36047044400,2.6,2.5714285714285716,3294.0,0.7893139040680025,0.7806401249024201
36047044500,3.6,6.0,4335.0,0.8304498269896194,1.3840830449826989
36047044600,8.0,9.285714285714286,1947.0,4.108885464817669,4.769242057377651
36047044700,7.8,6.142857142857143,2594.0,3.0069390902081725,2.3681022139002095
36047044800,1.4,2.0,1839.0,0.7612833061446438,1.087547580206634
36047044901,5.0,6.142857142857143,3041.0,1.644195988161789,2.0200122140273407
36047045000,6.2,3.5714285714285716,837.0,7.407407407407407,4.266939750810719
36047045200,0.4,1.4285714285714286,2781.0,0.1438331535418914,0.5136898340781836
36047045300,5.4,6.857142857142857,2253.0,2.396804260985353,3.0435609663306065
36047045400,1.4,2.857142857142857,1882.0,0.7438894792773645,1.518141794443601
36047045600,0.2,1.0,2207.0,0.09062075215224287,0.45310376076121434
