NAME,total_pop,median_income,poverty_all,poverty_count,no_vehicle_hh,edu_bachelors,edu_masters,edu_professional,edu_doctorate,edu_total,owner_hh,renter_hh,hh_total,limited_english,limited_english_total,state,county,tract,GEOID,poverty_rate,poverty_rate_c,edu_bachelors_plus,pct_bachelors_plus,pct_renters,pct_limited_english
Census Tract 147.01; Bronx County; New York,5645,25858,5606,2669,33,331,0,26,0,3506,33,2031,2064,91,5280,36,005,014701,36005014701,0.4760970388869069,0.3107380278863414,357,0.10182544209925841,0.9840116279069767,0.017234848484848485
Census Tract 147.02; Bronx County; New York,5232,21196,5232,2179,25,317,10,0,0,2775,25,1909,1934,387,4756,36,005,014702,36005014702,0.41647553516819574,0.2511165241676302,327,0.11783783783783784,0.9870734229576008,0.08137089991589572
Census Tract 149; Bronx County; New York,4917,41311,4745,1768,110,319,198,0,11,2683,289,1196,1485,43,4517,36,005,014900,36005014900,0.3726027397260274,0.2072437287254619,528,0.1967946328736489,0.8053872053872054,0.009519592649988931
Census Tract 151; Bronx County; New York,5143,28618,5046,2107,115,239,188,0,0,3801,390,1698,2088,60,4916,36,005,015100,36005015100,0.4175584621482362,0.25219945114767073,427,0.11233885819521179,0.8132183908045977,0.012205044751830757
Census Tract 152; Bronx County; New York,2666,77238,2582,348,45,207,118,0,33,1673,489,498,987,17,2531,36,005,015200,36005015200,0.13477924089852827,-0.030579770102037246,358,0.21398684997011358,0.5045592705167173,0.006716712761754247
Census Tract 153; Bronx County; New York,4161,38862,4097,1064,10,232,17,0,26,2793,156,1597,1753,86,3781,36,005,015300,36005015300,0.25970222113741764,0.09434321013685212,275,0.09846043680630147,0.9110096976611524,0.02274530547474213
Census Tract 155; Bronx County; New York,2943,37168,2943,681,0,271,48,16,0,1950,61,1046,1107,67,2624,36,005,015500,36005015500,0.23139653414882771,0.0660375231482622,335,0.1717948717948718,0.9448961156278229,0.025533536585365852
Census Tract 157; Bronx County; New York,5520,39776,5505,2023,0,383,83,0,56,3497,119,1976,2095,98,5070,36,005,015700,36005015700,0.36748410535876475,0.20212509435819923,522,0.14927080354589647,0.9431980906921241,0.01932938856015779
Census Tract 158; Bronx County; New York,1461,70357,1461,372,0,126,83,4,0,1065,190,304,494,30,1388,36,005,015800,36005015800,0.2546201232032854,0.0892611122027199,213,0.2,0.6153846153846154,0.021613832853025938
Census Tract 159; Bronx County; New York,2218,24485,2214,828,36,258,39,0,0,1599,106,767,873,83,2130,36,005,015900,36005015900,0.37398373983739835,0.20862472883683283,297,0.18574108818011256,0.8785796105383734,0.03896713615023474
Census Tract 160; Bronx County; New York,3903,96838,3903,296,45,463,175,95,18,2945,983,514,1497,9,3803,36,005,016000,36005016000,0.07583909812964386,-0.08951991287092166,751,0.25500848896434636,0.34335337341349365,0.00236655272153563
Census Tract 161; Bronx County; New York,4490,22286,4490,1767,0,391,29,0,0,3290,11,1946,1957,54,4251,36,005,016100,36005016100,0.3935412026726058,0.22818219167204026,420,0.1276595744680851,0.9943791517629024,0.012702893436838392
Census Tract 162; Bronx County; New York,1826,115278,1649,100,0,140,140,28,3,1292,295,211,506,105,1699,36,005,016200,36005016200,0.06064281382656155,-0.10471619717400396,311,0.24071207430340558,0.41699604743083,0.06180105944673337
Census Tract 164; Bronx County; New York,1029,66912,1029,269,48,156,52,7,6,717,212,200,412,0,936,36,005,016400,36005016400,0.26141885325558795,0.09605984225502243,221,0.3082287308228731,0.4854368932038835,0.0
